,social_assit,pharmaceutical,general_surgeon,general_practitioner,nurse,physiotherapist,gynecologist,family_physician,Nutricionista,pediatrician
150090,6,1,-,6,26,4,-,10,4,1
150095,7,2,-,5,16,3,-,4,1,1
150100,-,-,-,1,14,-,-,6,-,-
150110,-,-,-,2,10,-,-,5,-,-
150120,5,1,-,1,19,2,-,10,3,1
150125,1,1,-,-,4,1,-,3,1,-
150130,20,8,2,23,125,27,11,22,16,42
150140,429,384,88,1139,1929,665,205,63,299,331
150145,2,-,-,2,6,2,-,4,1,-
150150,16,4,-,18,51,10,1,-,6,2
150157,2,1,-,4,15,3,-,3,1,-
150160,3,2,-,2,11,2,-,4,-,-
150170,24,10,-,43,134,16,1,12,11,6
150172,1,-,-,2,13,2,-,2,-,-
150175,-,-,-,-,9,2,-,4,1,-
150178,4,1,1,14,36,4,-,3,1,-
150180,13,6,3,25,83,8,1,14,7,2
150190,3,1,-,2,15,2,-,4,2,1
150195,4,-,-,1,17,2,-,6,1,-
150200,2,-,-,2,13,1,-,-,1,1
150210,35,25,6,19,107,15,-,11,10,2
150215,5,14,5,46,87,18,7,3,7,8
150220,18,9,1,33,78,21,1,7,11,5
150230,6,3,-,6,27,4,-,9,3,-
150240,42,29,2,76,234,54,4,25,18,10
150250,1,1,-,1,12,-,-,6,-,-
150260,2,-,-,1,12,1,-,4,1,-
150270,8,5,3,25,59,9,3,5,4,3
150275,1,-,-,-,9,2,-,3,1,-
150276,1,1,-,-,17,1,-,3,-,-
150277,2,1,1,4,11,4,-,2,-,-
150280,4,-,1,3,17,2,-,4,2,-
150285,1,1,-,1,20,1,-,4,1,-
150290,2,1,-,1,23,4,-,7,1,-
150293,4,5,2,6,31,4,-,7,2,-
150295,3,1,-,3,13,3,-,3,2,-
150300,2,2,-,1,13,1,-,3,1,-
150304,2,3,-,3,14,1,-,5,1,-
150307,1,-,-,1,13,2,-,3,1,-
150309,3,1,-,2,23,4,-,5,3,-
150310,1,2,-,1,12,2,-,4,1,-
150320,7,2,-,4,29,4,-,6,5,-
150330,5,-,-,7,22,3,-,8,4,2
150340,3,-,-,2,9,1,-,3,1,-
150345,3,4,4,9,40,3,1,11,5,1
150350,6,-,-,-,21,2,-,4,2,-
150360,8,10,1,28,102,14,-,1,3,-
150370,1,1,-,4,27,4,-,4,2,-
150375,2,2,-,4,25,-,-,11,1,-
150380,2,7,1,9,28,7,-,5,2,-
150390,2,5,4,6,54,10,3,6,2,1
150400,3,-,-,2,17,1,-,-,1,-
150405,6,-,-,1,17,5,-,9,2,-
150410,-,-,-,1,6,-,-,1,-,-
150420,28,31,9,99,220,74,26,11,24,23
150430,2,-,-,2,22,1,-,2,1,-
150440,4,-,-,1,15,4,-,5,1,1
150442,28,13,2,29,87,16,1,8,9,2
150445,3,2,-,1,10,2,-,5,-,-
150450,4,1,-,2,11,1,-,7,2,-
150460,3,1,-,5,21,3,1,3,3,-
150470,5,2,-,4,22,3,1,3,3,1
150475,-,1,-,1,22,-,1,2,-,1
150480,1,-,1,8,39,5,2,8,1,2
150490,2,1,-,1,14,1,-,6,2,1
150495,2,1,2,2,8,1,-,3,1,-
150497,2,1,-,2,11,2,-,2,1,-
150500,2,-,-,1,5,1,-,4,1,-
150503,2,1,-,3,42,6,-,9,2,1
150506,3,3,-,8,46,5,1,8,1,12
150510,2,8,-,4,38,9,-,8,-,3
150520,3,-,-,2,18,1,-,3,1,-
150530,6,5,5,27,65,12,4,13,4,4
150540,2,1,-,-,15,1,-,7,2,1
150543,5,3,-,8,27,3,-,4,1,2
150548,4,1,-,3,24,2,-,6,1,-
150549,1,-,-,2,5,1,-,3,-,1
150550,14,18,2,23,110,12,2,19,6,8
150553,39,42,12,131,263,63,19,26,29,17
150555,2,1,-,2,12,1,-,3,-,-
150560,1,-,-,-,6,1,-,2,-,-
150563,-,2,1,1,8,2,-,4,1,-
150565,1,1,-,2,11,1,-,3,-,-
150570,2,-,-,1,13,2,-,4,1,-
150580,2,1,2,3,35,3,-,6,2,1
150590,2,-,-,-,17,1,-,7,1,-
150600,1,-,-,2,26,-,-,6,-,3
150610,1,1,-,-,9,-,1,4,-,-
150611,2,-,-,-,7,-,-,1,1,-
150613,15,18,1,23,96,15,7,8,10,8
150616,2,2,-,1,15,3,-,4,1,-
150618,2,1,-,3,18,3,-,4,2,2
150619,4,2,-,5,22,3,-,4,1,1
150620,3,1,2,12,26,3,2,8,2,3
150630,2,-,-,-,8,2,-,4,1,2
150635,3,-,-,1,20,4,-,2,1,1
150640,1,-,-,1,5,-,-,3,-,-
150650,18,1,-,17,41,4,1,7,4,-
150655,1,-,-,1,11,-,-,2,1,-
150658,3,1,-,3,17,2,-,3,1,-
150660,1,1,-,7,13,4,-,6,-,-
150670,5,3,1,3,21,6,1,10,1,-
150680,35,43,5,79,414,83,8,30,20,15
150690,-,-,-,-,10,2,-,-,-,-
150700,3,-,1,4,16,2,-,3,2,-
150710,3,1,-,1,6,1,-,4,-,-
150715,2,3,-,1,11,4,-,5,1,-
150720,6,-,-,4,32,3,-,3,2,1
150730,6,2,-,7,49,5,-,12,3,1
150740,2,-,-,1,11,1,-,2,1,-
150745,2,3,2,6,20,3,-,1,1,-
150746,-,1,-,-,4,1,-,3,1,-
150747,3,1,-,2,17,1,-,5,2,-
150750,1,-,-,-,10,1,-,1,1,-
150760,6,1,-,5,20,2,-,5,3,-
150770,-,1,-,-,12,1,-,4,1,-
150775,1,2,-,1,7,1,-,1,-,-
150780,-,1,-,2,7,1,-,4,1,-
150790,3,-,-,1,10,3,-,5,1,2
150795,6,7,-,9,49,7,-,7,6,-
150796,2,-,-,4,13,-,-,-,1,-
150797,3,1,1,1,17,3,-,4,-,-
150800,8,3,-,10,31,7,-,5,2,-
150803,3,2,-,1,13,2,-,6,1,-
150805,-,-,-,2,15,2,-,1,-,-
150808,3,3,1,9,26,8,-,7,1,1
150810,30,10,3,28,168,28,4,16,12,10
150812,5,3,-,9,30,5,-,8,3,1
150815,2,2,-,3,21,4,-,9,1,2
150820,6,1,1,7,30,3,-,7,3,1
150830,4,1,-,2,30,6,-,11,2,-
150835,2,2,-,4,32,3,1,1,1,1
150840,2,7,-,15,37,7,2,5,3,1
160005,1,-,-,5,9,3,-,1,3,-
160010,1,1,-,4,14,2,1,1,1,-
160015,2,2,-,4,21,4,-,2,2,-
160020,1,-,-,3,17,1,-,3,2,-
160021,1,-,-,2,10,1,-,2,-,-
160023,2,3,-,6,22,1,-,3,1,-
160025,1,1,-,-,8,1,-,3,1,-
160027,7,4,2,15,52,15,3,11,3,1
160030,106,128,27,200,782,267,47,46,105,73
160040,2,1,-,2,24,5,-,4,2,-
160050,3,5,2,6,26,5,-,5,3,2
160053,2,1,-,5,24,7,-,5,1,-
160055,-,1,-,-,6,1,-,1,1,-
160060,17,6,2,23,103,32,3,19,17,13
160070,1,2,-,2,21,5,-,4,1,-
160080,1,1,-,1,13,2,-,6,-,-
170025,1,1,-,-,3,1,-,-,-,-
170030,-,-,-,-,6,1,-,1,-,1
170035,1,1,-,3,7,2,-,-,-,-
170040,-,1,-,2,8,2,-,2,-,-
170070,3,5,1,15,20,4,1,-,1,2
170100,1,1,-,2,12,1,-,1,-,-
170105,1,2,-,-,2,1,-,-,1,-
170110,-,2,-,2,3,1,-,2,-,-
170130,1,1,-,2,10,1,-,3,-,-
170190,-,1,-,3,5,2,-,-,-,-
170200,3,4,-,5,14,4,-,2,2,1
170210,68,110,14,204,558,89,38,23,35,47
170215,1,1,-,-,8,1,-,1,1,-
170220,4,2,-,6,24,2,-,5,1,-
170230,4,5,1,9,16,2,-,1,1,2
170240,4,3,-,10,24,4,-,2,4,1
170255,12,12,8,32,68,14,10,1,4,8
170270,1,1,-,-,4,1,-,2,-,-
170290,1,-,-,1,7,1,-,4,-,-
170300,-,1,-,2,12,-,-,-,-,-
170305,-,1,-,-,11,1,-,1,-,-
170307,1,1,-,-,5,1,-,-,-,-
170310,3,1,-,4,5,3,-,-,1,-
170320,-,2,-,1,4,1,-,1,1,-
170330,1,1,-,-,2,1,-,1,-,-
170360,1,-,-,-,3,1,-,-,1,-
170370,-,-,-,-,6,-,-,-,1,-
170380,2,3,-,3,13,1,-,3,1,-
170382,-,1,-,-,4,1,-,1,-,-
170384,1,1,-,-,5,1,-,3,-,-
170386,2,3,-,3,14,1,-,1,-,-
170388,1,-,-,-,1,1,-,-,1,-
170389,1,2,-,1,5,1,-,2,1,-
170390,1,1,-,1,1,1,-,2,-,-
170410,1,1,-,1,2,1,-,-,-,-
170460,-,1,-,-,1,1,-,1,1,-
170510,-,1,-,-,2,2,-,1,-,-
170550,11,7,-,14,29,5,-,11,3,1
170555,2,1,-,2,6,1,-,-,-,-
170560,1,1,-,-,4,1,-,-,-,-
170600,-,-,-,1,8,1,-,1,-,-
170610,1,1,-,4,6,1,-,1,-,-
170625,-,-,-,2,4,1,-,-,-,-
170650,1,1,-,1,5,1,-,2,-,-
170700,5,2,-,11,29,7,1,4,1,1
170710,1,2,-,5,12,2,-,-,1,-
170720,2,1,-,2,5,2,-,1,-,-
170730,-,1,-,2,6,2,-,-,-,-
170740,1,1,-,2,7,1,-,2,1,-
170755,1,1,-,2,5,2,-,-,-,-
170765,1,1,-,3,5,3,-,-,-,-
170770,-,1,-,1,9,2,-,2,1,-
170820,1,2,-,10,26,3,-,4,1,1
170825,1,1,-,1,10,2,-,1,-,-
170830,-,2,-,3,5,2,-,-,-,-
170900,1,-,-,3,9,2,-,1,1,-
170930,10,7,5,21,56,10,1,3,3,4
170950,27,27,5,114,231,74,11,14,12,15
170980,-,1,-,-,2,1,-,1,-,-
171050,1,1,-,5,12,1,-,1,-,-
171070,-,-,-,-,4,1,-,3,1,-
171090,-,1,-,-,2,1,-,1,-,-
171110,1,1,-,-,3,1,-,1,-,-
171150,1,1,-,-,5,2,-,1,-,-
171180,1,-,-,-,2,1,-,1,-,-
171190,1,1,-,3,12,3,-,3,-,-
171195,1,-,-,1,4,2,-,1,-,-
171200,1,2,-,5,8,1,-,-,-,-
171215,-,1,-,1,2,-,-,-,-,-
171240,-,1,-,-,2,1,-,1,-,-
171245,1,1,-,-,3,1,-,-,1,-
171250,1,1,-,-,3,2,-,2,-,-
171270,-,1,-,2,4,1,-,-,-,-
171280,-,2,-,1,9,-,-,2,1,-
171320,11,9,1,33,60,17,1,7,5,3
171330,2,1,-,4,16,4,-,2,-,1
171360,-,-,-,2,10,2,-,-,3,-
171370,1,1,-,-,1,-,-,-,-,-
171380,1,2,-,1,6,1,-,4,-,-
171395,1,-,-,1,7,1,-,-,-,-
171420,1,2,-,2,17,1,-,-,1,-
171430,1,1,-,1,2,1,-,-,-,-
171488,4,1,-,2,10,2,-,1,-,-
171500,1,1,-,5,6,3,-,-,-,-
171510,1,-,-,-,4,1,-,1,-,-
171515,1,1,-,1,5,1,-,-,1,-
171525,1,1,-,-,3,2,-,1,1,-
171550,-,1,-,-,1,1,-,1,-,-
171570,-,1,-,2,6,-,-,1,-,-
171575,1,1,-,4,11,2,-,2,1,-
171610,19,12,-,49,78,26,3,12,4,2
171620,1,2,-,1,9,3,-,3,-,-
171630,1,1,-,-,5,1,-,1,-,-
171650,5,3,-,16,28,4,1,4,1,1
171660,3,2,-,2,14,2,-,2,2,-
171665,1,-,-,-,6,2,-,2,-,-
171670,2,2,-,3,12,3,-,1,1,-
171700,1,1,-,1,6,1,-,-,-,-
171720,1,1,-,1,2,1,-,1,-,-
171750,1,1,-,5,5,3,-,2,1,-
171780,-,1,-,1,7,1,-,1,1,-
171790,2,1,-,-,8,2,-,1,-,-
171800,1,1,-,-,5,1,-,-,-,-
171820,33,24,6,59,172,40,9,11,8,12
171830,1,1,-,1,5,1,-,2,-,-
171840,-,1,-,-,8,2,-,1,-,-
171845,1,1,-,-,3,-,-,1,-,-
171850,3,1,-,-,2,1,-,1,1,-
171855,1,-,-,-,1,1,-,1,-,-
171865,1,-,-,-,2,1,-,-,-,-
171870,1,1,-,-,2,-,-,-,-,-
171875,1,1,-,2,7,1,-,1,1,-
171880,1,-,-,-,3,-,-,1,-,-
171884,1,1,-,1,4,-,-,-,1,-
171886,1,1,-,2,6,-,-,1,-,-
171888,1,-,-,-,2,1,-,1,-,-
171889,1,1,-,-,2,1,-,1,1,-
171890,-,1,-,-,6,-,-,1,-,-
171900,1,1,-,1,2,1,-,-,-,-
172000,1,1,-,2,3,-,-,-,1,-
172010,1,-,-,-,4,-,-,2,1,-
172015,-,1,-,-,6,1,-,1,-,-
172020,2,2,-,2,8,2,-,5,2,2
172025,-,-,-,-,3,-,-,-,-,-
172030,1,-,-,-,3,1,-,4,1,-
172049,-,-,-,2,8,1,-,1,1,-
172065,1,-,-,2,11,1,-,1,1,-
172080,2,1,-,2,16,1,-,4,1,-
172085,-,1,-,-,2,1,-,1,-,-
172090,3,4,-,1,18,2,-,3,-,-
172093,1,-,-,-,1,1,-,1,-,-
172097,-,1,-,1,1,1,-,-,-,-
172100,234,130,20,228,1074,290,33,86,88,77
172110,1,1,-,2,7,1,-,-,-,-
172120,4,7,-,14,30,4,-,2,1,-
172125,-,-,-,-,1,-,-,-,-,-
172130,-,1,-,-,1,1,-,-,-,-
172208,1,2,-,-,13,1,-,2,-,-
172210,3,7,1,9,23,4,-,-,2,-
210005,10,5,4,39,89,8,6,11,10,5
210010,1,1,-,2,6,2,-,1,1,-
210015,2,-,-,-,6,4,-,5,1,-
210020,2,-,-,2,15,-,1,7,-,-
210030,3,1,-,2,17,4,-,5,2,-
210040,-,1,-,-,4,1,-,4,-,-
210043,4,1,1,6,36,1,4,9,2,2
210047,1,2,-,2,31,5,-,7,1,2
210050,1,2,-,3,11,1,-,2,-,-
210055,-,1,-,1,5,1,-,1,1,-
210060,11,8,2,14,47,5,-,6,6,1
210070,3,2,1,4,19,7,-,7,2,-
210080,1,-,-,4,10,3,-,2,-,-
210083,1,-,-,1,7,-,-,4,-,-
210087,1,1,-,-,9,2,-,4,2,-
210090,4,-,-,5,27,7,-,11,2,-
210095,1,1,-,8,23,4,-,9,1,-
210100,7,3,-,6,24,6,1,8,3,1
210110,-,-,-,3,8,4,-,1,2,-
210120,32,21,9,46,161,28,6,15,20,6
210125,1,-,-,5,20,2,-,1,2,1
210130,-,-,-,2,14,2,-,2,1,-
210135,-,-,-,4,3,-,-,1,1,-
210140,15,13,2,39,147,36,7,14,11,6
210150,-,-,2,5,21,1,2,4,2,1
210160,13,6,2,14,70,20,1,16,3,3
210170,4,3,11,4,54,10,5,16,4,4
210173,1,-,-,2,5,-,-,-,-,-
210177,-,2,-,5,12,2,-,1,1,-
210180,-,1,-,-,4,1,-,2,1,-
210190,1,1,-,2,16,2,-,8,1,-
210193,-,-,-,2,6,1,-,2,-,-
210197,1,-,-,2,6,1,-,1,-,-
210200,1,3,-,-,22,3,-,14,1,-
210203,2,1,-,1,19,3,-,11,2,-
210207,-,-,-,2,8,3,-,2,2,-
210210,3,-,-,6,12,6,-,5,3,-
210215,-,-,-,1,7,1,-,2,1,-
210220,2,2,-,1,19,3,-,10,1,-
210230,2,2,-,-,16,2,-,3,2,-
210232,4,2,-,10,58,7,-,10,2,1
210235,1,1,-,1,9,1,-,3,1,-
210237,-,-,-,-,1,-,-,-,-,-
210240,1,2,-,2,9,1,-,3,-,-
210250,2,1,-,3,10,3,-,2,1,-
210255,2,2,-,1,11,1,-,2,1,-
210260,-,-,-,1,10,-,-,6,1,-
210270,1,1,-,5,18,1,-,6,1,-
210275,3,2,-,2,11,4,-,1,2,-
210280,1,-,-,2,25,2,-,7,2,1
210290,3,5,-,2,34,3,1,3,4,1
210300,68,17,17,68,313,80,7,29,34,19
210310,-,2,-,-,9,2,-,4,1,1
210312,-,-,-,1,7,-,-,2,1,-
210315,1,-,-,2,7,1,-,2,-,-
210317,-,1,-,2,14,2,-,7,1,-
210320,14,8,2,11,90,15,1,12,5,3
210325,1,1,-,2,9,-,-,-,1,-
210330,27,3,3,29,140,27,4,25,11,1
210340,7,2,1,10,35,5,1,6,2,1
210350,10,5,1,20,68,11,1,7,6,3
210355,-,-,-,1,13,-,-,1,-,-
210360,18,6,3,27,102,23,1,11,10,13
210370,4,2,-,7,32,3,-,12,2,1
210375,3,4,-,5,16,2,-,1,2,-
210380,3,3,-,4,12,4,-,6,3,-
210390,-,1,-,3,8,2,-,2,1,-
210400,4,-,-,4,21,5,-,7,3,-
210405,1,2,-,12,36,7,2,18,5,2
210407,-,1,-,3,7,1,-,2,1,-
210408,1,-,-,2,9,3,-,4,1,-
210409,3,3,-,3,10,1,-,5,1,-
210410,1,1,-,3,7,2,-,1,1,-
210420,1,1,-,3,17,2,-,6,1,-
210430,-,-,-,2,8,1,-,3,1,-
210440,-,2,-,1,13,2,-,2,1,-
210450,1,2,-,2,7,2,-,2,2,-
210455,1,1,-,8,14,1,-,6,1,-
210460,1,-,-,1,14,6,-,3,4,-
210462,-,-,-,1,7,1,-,1,1,-
210465,1,2,-,4,12,1,1,3,2,-
210467,-,4,-,6,19,2,-,8,3,1
210470,1,-,-,1,4,3,-,2,1,-
210480,13,4,2,11,73,13,-,10,5,-
210490,-,-,-,2,11,2,-,5,1,-
210500,3,1,-,5,17,3,1,4,-,-
210510,1,2,-,5,19,4,-,3,2,-
210515,2,3,-,4,12,1,2,3,-,-
210520,-,1,-,3,11,2,-,3,1,-
210530,81,59,16,160,525,85,41,35,67,50
210535,2,1,1,3,10,1,-,2,1,-
210540,8,11,-,9,59,16,7,12,5,6
210542,1,4,-,3,18,2,-,5,1,-
210545,1,2,-,-,7,2,-,1,2,-
210547,2,2,-,3,9,2,-,3,2,-
210550,4,-,-,11,13,4,-,2,4,-
210560,2,1,-,2,10,2,-,3,1,-
210565,-,1,-,-,5,1,-,2,1,-
210570,5,5,-,9,23,4,-,7,2,1
210580,-,-,-,1,9,1,-,-,2,-
210590,1,-,-,-,7,1,-,3,1,-
210592,1,1,-,1,8,3,-,2,1,-
210594,-,1,-,2,8,-,-,2,-,-
210596,1,-,-,-,4,4,-,2,1,-
210598,1,1,-,-,3,-,-,2,1,-
210600,2,1,-,3,14,3,-,1,2,1
210610,-,2,-,1,10,-,-,3,1,-
210620,-,-,-,1,4,1,-,-,1,-
210630,3,1,-,3,18,3,-,3,1,-
210632,-,1,-,1,7,2,-,4,1,-
210635,-,-,-,-,4,-,-,1,-,-
210637,1,-,-,3,7,1,-,3,1,-
210640,2,-,-,2,10,3,-,3,1,-
210650,1,1,-,3,14,3,-,6,1,-
210660,3,-,-,2,35,4,1,10,2,-
210663,5,-,1,3,17,1,2,4,2,1
210667,2,-,-,1,7,3,-,2,1,-
210670,1,-,-,-,3,-,-,2,-,-
210675,8,3,1,4,22,3,1,1,3,-
210680,1,-,-,1,9,2,-,4,2,-
210690,4,-,1,6,42,4,-,7,2,-
210700,1,-,-,3,10,1,-,-,-,-
210710,6,2,2,3,27,4,-,5,1,1
210720,1,1,-,3,6,2,1,-,1,-
210725,-,-,-,2,5,-,-,1,1,-
210730,-,2,-,-,4,-,-,-,-,-
210735,1,1,-,-,7,4,-,3,2,1
210740,-,1,-,2,9,1,-,3,-,-
210745,1,-,-,1,7,-,-,3,-,-
210750,14,9,1,24,86,17,3,12,7,4
210760,1,1,-,3,19,3,1,4,1,-
210770,2,2,-,1,14,2,-,3,-,-
210780,3,2,-,5,25,5,1,13,3,-
210790,5,5,-,3,18,6,1,4,3,1
210800,3,6,-,2,17,8,-,3,5,-
210805,2,1,1,-,18,-,-,-,1,-
210810,-,2,1,4,5,1,-,1,3,-
210820,12,13,1,10,71,13,2,8,10,1
210825,-,2,-,2,16,2,-,7,1,-
210830,1,1,-,3,29,6,-,10,2,-
210840,-,1,-,1,11,2,1,2,1,-
210845,2,2,5,8,36,6,-,4,6,1
210850,-,1,-,1,22,1,-,3,2,-
210860,16,8,4,23,139,24,1,13,16,9
210870,2,-,-,4,17,3,-,3,1,-
210880,1,1,-,4,19,2,-,3,1,-
210890,2,2,-,4,16,6,-,2,2,-
210900,6,2,-,9,29,5,-,10,4,1
210905,-,-,-,-,-,1,-,2,-,-
210910,8,12,-,21,103,19,3,5,7,3
