municipality,mammogram,x_ray,tomograph,ressonance,ultrasound
221050,-,2,-,-,1
221060,-,4,-,-,4
221062,-,-,-,-,-
221063,-,-,-,-,-
221065,-,-,-,-,-
221070,-,2,-,-,2
221080,-,2,-,-,2
221090,-,-,-,-,-
221093,-,1,-,-,-
221095,-,-,-,-,-
221097,-,-,-,-,-
221100,28,296,24,5,138
221110,-,2,-,-,2
221120,-,1,-,-,4
221130,1,5,-,-,4
221135,-,-,-,-,-
221140,-,-,-,-,-
221150,-,-,-,-,-
221160,-,-,-,-,-
221170,-,-,-,-,-
230010,-,2,-,-,-
230015,-,-,-,-,-
230020,-,2,-,-,3
230030,-,2,-,-,4
230040,-,1,-,-,1
230050,-,-,-,-,-
230060,-,-,-,-,-
230070,-,3,-,-,1
230075,-,2,-,-,1
230080,-,-,-,-,-
230090,-,1,-,-,2
230100,-,3,-,-,2
230110,2,16,-,-,6
230120,-,2,-,-,1
230125,-,1,-,-,1
230130,-,4,-,-,1
230140,-,-,-,-,-
230150,-,1,-,-,1
230160,-,1,-,-,3
230170,-,4,-,-,2
230180,-,1,-,-,1
230185,-,2,-,-,2
230190,5,18,4,-,11
230195,-,1,-,-,1
230200,-,1,-,-,1
230205,-,1,-,-,1
230210,-,11,-,-,3
230220,-,4,-,-,3
230230,-,3,-,-,2
230240,-,4,-,-,4
230250,2,19,1,-,9
230260,-,5,-,-,6
230270,-,3,-,-,3
230280,-,9,-,-,4
230290,-,1,-,-,1
230300,-,1,-,-,1
230310,-,2,-,-,1
230320,-,2,-,-,2
230330,-,1,-,-,1
230340,-,2,-,-,2
230350,1,3,-,-,3
230360,-,2,-,-,1
230365,-,-,-,-,1
230370,-,10,-,-,13
230380,-,3,-,-,1
230390,-,2,-,-,2
230393,-,-,-,-,1
230395,-,-,-,-,1
230400,-,3,-,-,1
230410,2,17,1,-,3
230420,3,38,3,-,14
230423,-,1,-,-,1
230425,-,2,-,-,1
230426,-,4,-,-,1
230427,-,-,-,-,-
230428,-,5,-,-,2
230430,-,3,-,-,2
230435,-,2,-,-,1
230440,63,1349,50,12,488
230445,-,-,-,-,1
230450,-,1,-,-,1
230460,-,-,-,-,-
230465,-,-,-,-,-
230470,-,3,-,-,3
230480,-,2,-,-,-
230490,-,1,-,-,-
230495,-,1,-,-,1
230500,-,5,-,-,4
230510,-,1,-,-,1
230520,-,1,-,-,1
230523,-,6,-,-,3
230526,-,1,-,-,-
230530,-,4,-,-,5
230533,-,-,-,-,-
230535,-,1,-,-,1
230540,-,11,-,-,3
230550,3,25,2,-,10
230560,-,2,-,-,2
230565,-,2,-,-,1
230570,-,1,-,-,1
230580,1,7,-,-,3
230590,-,2,-,-,1
230600,-,3,-,-,1
230610,-,-,-,-,1
230620,-,-,-,-,-
230625,-,3,-,-,1
230630,-,7,-,-,4
230640,3,19,1,-,12
230650,-,1,-,-,1
230655,-,1,-,-,2
230660,-,-,-,-,-
230670,-,1,-,-,1
230680,-,3,-,-,1
230690,-,6,-,-,3
230700,-,1,-,-,1
230710,-,2,-,-,1
230720,-,2,-,-,-
230725,-,3,-,-,1
230730,8,49,8,2,32
230740,-,2,-,-,2
230750,1,5,-,-,3
230760,1,16,-,-,8
230763,-,-,-,-,1
230765,2,28,2,-,8
230770,-,5,-,-,9
230780,-,1,-,-,1
230790,-,-,-,-,-
230800,-,1,-,-,1
230810,-,3,-,-,3
230820,-,-,-,-,1
230830,-,3,-,-,2
230835,-,1,-,-,1
230837,-,-,-,-,1
230840,-,3,-,-,4
230850,-,1,-,-,1
230860,-,1,-,-,1
230870,-,2,-,-,3
230880,-,-,-,-,1
230890,-,1,-,-,1
230900,-,1,-,-,1
230910,-,-,-,-,1
230920,-,1,-,-,-
230930,-,1,-,-,3
230940,-,-,-,-,-
230945,-,1,-,-,1
230950,-,2,-,-,3
230960,-,5,-,-,2
230970,-,2,-,-,4
230980,-,1,-,-,-
230990,-,-,-,-,-
231000,-,1,-,-,1
231010,-,-,-,-,1
231020,-,4,-,-,2
231025,-,1,-,-,2
231030,-,3,-,-,1
231040,-,2,-,-,1
231050,-,1,-,-,3
231060,-,4,-,-,1
231070,-,5,-,-,2
231080,-,3,-,-,1
231085,-,1,-,-,2
231090,-,1,-,-,1
231095,-,-,-,-,-
231100,-,-,-,-,-
231110,-,1,-,-,-
231120,-,1,-,-,-
231123,-,-,-,-,1
231126,-,-,-,-,-
231130,3,29,1,-,13
231135,-,2,-,-,2
231140,-,6,-,-,4
231150,-,1,-,-,1
231160,-,3,-,-,2
231170,-,1,-,-,-
231180,2,16,1,-,7
231190,-,1,-,-,1
231195,-,3,-,-,1
231200,-,3,-,-,1
231210,-,1,-,-,1
231220,-,5,-,-,3
231230,-,8,-,-,6
231240,-,10,-,-,1
231250,-,-,-,-,1
231260,-,-,-,-,1
231270,-,7,-,-,3
231280,-,1,-,-,1
231290,5,64,1,1,30
231300,-,3,-,-,1
231310,-,6,-,-,-
231320,-,2,-,-,1
231325,-,-,-,-,-
231330,2,9,-,-,6
231335,-,1,-,-,-
231340,1,19,1,-,4
231350,-,5,-,-,1
231355,-,1,-,-,1
231360,-,5,-,-,1
231370,-,-,-,-,-
231375,-,2,-,-,3
231380,-,1,-,-,-
231390,-,2,-,-,2
